num_duplicate_rows,fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,productVariant,currencyCode,itemQuantity,itemRevenue,transactionRevenue,transactionId,pageTitle,searchKeyword,pagePathLevel1,eCommerceAction_type,eCommerceAction_step,eCommerceAction_option
2,7029245392581399860,Social,236306,Egypt,not available in demo dataset,,,463,36,,20170328,1490703093,PAGE,,,250000000,,GGOEGGCX056399,Gift Card - $250.00,Home/Gift Cards/,(not set),,,,,,Gift Cards | Google Merchandise Store,,/google+redesign/,2,1,
9,0780206376162514125,Referral,2099234,United States,not available in demo dataset,505000000,3,2269,92,,20160908,1473373023,PAGE,,,25000000,,GGOEGGCX056299,Gift Card - $25.00,(not set),Single Option Only,USD,,,,,Payment Method,,/payment.html,5,2,Payment
2,8769663090721675478,Organic Search,213507,United States,not available in demo dataset,53000000,1,464,12,40,20170728,1501254252,PAGE,,,25000000,,GGOEGGCX056299,Gift Card - $25.00,Gift Cards,Single Option Only,USD,,,,,Payment Method,,/payment.html,5,2,Payment
2,4089398984309263376,Direct,157590,India,Bengaluru,,,158,3,,20170311,1489227939,PAGE,,,1990000,,GGOEWFKA083099,Waze Mood Happy Window Decal,Home/Accessories/Stickers/,(not set),USD,,,,,Stickers | Accessories | Google Merchandise Store,,/google+redesign/,0,1,
2,0956968704278661181,Organic Search,505417,Bangladesh,(not set),,,506,7,,20161018,1476840950,PAGE,,,39990000,,GGOEGAAX0311,Google Heavyweight Long Sleeve Hero Tee Navy,Home/Apparel/Men's/Men's-T-Shirts/,(not set),,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,2,1,
2,9505863296799276550,Referral,742548,United States,Chicago,,,889,37,,20160916,1474067919,PAGE,,,13590000,,GGOEGAAX0671,Google Toddler Short Sleeve Tee White,Home/Apparel/Kid's/Kid's-Toddler/,(not set),,,,,,Kid's-Toddler,,/google+redesign/,2,1,
2,0219574228160531155,Referral,153234,United States,not available in demo dataset,,,556,31,,20170302,1488491778,EVENT,,,25000000,,GGOEGGCX056299,Gift Card - $25.00,Home/Gift Cards/,(not set),,,,,,Gift Cards | Google Merchandise Store,,/store.html,1,1,
2,4089398984309263376,Direct,157590,India,Bengaluru,,,158,3,,20170311,1489227939,PAGE,,,1990000,,GGOEWFKA083299,Waze Mood Ninja Window Decal,Home/Accessories/Stickers/,(not set),USD,,,,,Stickers | Accessories | Google Merchandise Store,,/google+redesign/,0,1,
2,2215886195509488549,Social,78175,India,Chennai,,,425,24,,20170626,1498495900,EVENT,,,29990000,,GGOEGAAX0351,YouTube Men's Vintage Henley,Home/Shop by Brand/YouTube/,(not set),,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,1,1,
2,7845114848613059919,Referral,791577,United States,New York,304320000,1,792,17,,20161215,1481840106,PAGE,,,8790000,,GGOEGDHC015299,23 oz Wide Mouth Sport Bottle,Drinkware,Single Option Only,USD,,,,ORD201612152739,Checkout Confirmation,,/ordercompleted.html,6,1,
